entity,type,time,sentiment,score,company,channel
nigeria,GPE,2021-08-16,5 stars,5,spacex,facebook
malta,GPE,2021-08-31,5 stars,5,spacex,facebook
piotr przeklasa,PERSON,2021-08-16,5 stars,5,spacex,facebook
mars,LOC,2021-06-25,5 stars,5,spacex,facebook
dubai,GPE,2021-06-26,5 stars,5,spacex,facebook
yall,PRODUCT,2021-07-10,5 stars,5,spacex,facebook
mars,LOC,2021-06-21,5 stars,5,spacex,facebook
hola darlings,ORG,2021-07-05,5 stars,5,spacex,facebook
te amo meu amor,PERSON,2021-06-24,5 stars,5,spacex,facebook
peter stueckradt,PERSON,2021-08-07,5 stars,5,spacex,facebook
derek kammeraad,PERSON,2021-08-07,1 star,1,spacex,facebook
alfredo garcia jurado orozco,PERSON,2021-08-07,5 stars,5,spacex,facebook
walid elkadi,PERSON,2021-08-08,1 star,1,spacex,facebook
bob lazar,PERSON,2021-08-08,1 star,1,spacex,facebook
james j williams,PERSON,2021-08-07,2 stars,2,spacex,facebook
mars,LOC,2021-08-07,1 star,1,spacex,facebook
enterprise,ORG,2021-08-06,1 star,1,spacex,facebook
musk,PERSON,2021-08-07,5 stars,5,spacex,facebook
arbys,ORG,2021-08-06,5 stars,5,spacex,facebook
branson,GPE,2021-08-07,3 stars,3,spacex,facebook
bezos,PRODUCT,2021-08-07,3 stars,3,spacex,facebook
ksp musk,ORG,2021-08-07,3 stars,3,spacex,facebook
elon,ORG,2021-08-07,5 stars,5,spacex,facebook
ojala salga,PERSON,2021-08-06,5 stars,5,spacex,facebook
nasa,ORG,2020-09-08,1 star,1,spacex,facebook
leetsss goooo,ORG,2021-08-04,5 stars,5,spacex,facebook
don,PERSON,2020-11-12,5 stars,5,spacex,facebook
maria,PERSON,2021-04-09,2 stars,2,spacex,facebook
don,PERSON,2021-04-09,2 stars,2,spacex,facebook
steven,PERSON,2021-04-09,2 stars,2,spacex,facebook
second,ORDINAL,2021-07-14,2 stars,2,spacex,facebook
one 1 percent,PERCENT,2021-07-14,2 stars,2,spacex,facebook
the 1 percent,PERCENT,2021-07-14,2 stars,2,spacex,facebook
don,PERSON,2021-08-02,1 star,1,spacex,facebook
earth,LOC,2021-07-13,5 stars,5,spacex,facebook
super mario,FAC,2021-07-03,4 stars,4,spacex,facebook
mrsa,ORG,2021-07-02,2 stars,2,spacex,facebook
spanish,NORP,2021-07-24,2 stars,2,spacex,facebook
german,NORP,2021-07-24,2 stars,2,spacex,facebook
nazis,NORP,2021-07-24,2 stars,2,spacex,facebook
jim rohn,PERSON,2021-07-31,3 stars,3,spacex,facebook
christianity,NORP,2021-07-31,3 stars,3,spacex,facebook
earth,LOC,2021-07-31,3 stars,3,spacex,facebook
earth,LOC,2021-07-13,5 stars,5,spacex,facebook
earth,LOC,2021-07-27,1 star,1,spacex,facebook
maya,PERSON,2021-07-27,1 star,1,spacex,facebook
elon,ORG,2021-07-28,3 stars,3,spacex,facebook
elon,ORG,2021-08-05,1 star,1,spacex,facebook
elon musk,PERSON,2021-08-05,1 star,1,spacex,facebook
mars,LOC,2021-08-05,1 star,1,spacex,facebook
elon,PERSON,2021-08-02,5 stars,5,spacex,facebook
elon,PERSON,2021-08-02,5 stars,5,spacex,facebook
earth,LOC,2021-08-02,5 stars,5,spacex,facebook
first,ORDINAL,2021-07-05,4 stars,4,spacex,facebook
covid,PERSON,2021-07-16,2 stars,2,spacex,facebook
africa,LOC,2021-07-16,2 stars,2,spacex,facebook
triassic,LOC,2021-07-27,3 stars,3,spacex,facebook
jurassic,LOC,2021-07-27,3 stars,3,spacex,facebook
bc,ORG,2021-07-27,3 stars,3,spacex,facebook
elon musk,PERSON,2021-08-03,5 stars,5,spacex,facebook
interpol,ORG,2021-07-26,1 star,1,spacex,facebook
fbi,ORG,2021-07-26,1 star,1,spacex,facebook
elon musk,PERSON,2021-07-26,3 stars,3,spacex,facebook
edison,ORG,2021-07-17,1 star,1,spacex,facebook
tesla,ORG,2021-07-17,1 star,1,spacex,facebook
david ,PERSON,2021-07-19,4 stars,4,spacex,facebook
bible,WORK_OF_ART,2021-08-03,5 stars,5,spacex,facebook
bible,WORK_OF_ART,2021-08-03,4 stars,4,spacex,facebook
bible,WORK_OF_ART,2021-07-05,5 stars,5,spacex,facebook
earth,LOC,2021-07-13,1 star,1,spacex,facebook
tabatha,PERSON,2021-04-01,4 stars,4,spacex,facebook
pam hislip,PERSON,2021-04-01,4 stars,4,spacex,facebook
america,GPE,2021-03-22,1 star,1,spacex,facebook
communist,NORP,2021-03-22,1 star,1,spacex,facebook
the signal,WORK_OF_ART,2021-03-22,1 star,1,spacex,facebook
earth,LOC,2021-02-26,5 stars,5,spacex,facebook
bruh,PERSON,2021-04-01,1 star,1,spacex,facebook
america,GPE,2021-03-22,1 star,1,spacex,facebook
rey riveras,PERSON,2021-03-29,1 star,1,spacex,facebook
jack wheelers,PERSON,2021-03-29,1 star,1,spacex,facebook
white house,ORG,2021-03-29,1 star,1,spacex,facebook
hud,ORG,2021-04-07,2 stars,2,spacex,facebook
jackson county oregon,GPE,2021-04-07,2 stars,2,spacex,facebook
hud,ORG,2021-04-07,2 stars,2,spacex,facebook
fbi,ORG,2021-03-17,2 stars,2,spacex,facebook
americans,NORP,2021-03-17,2 stars,2,spacex,facebook
fbi,ORG,2021-03-28,2 stars,2,spacex,facebook
first,ORDINAL,2021-04-03,4 stars,4,spacex,facebook
brian,PERSON,2021-03-02,2 stars,2,spacex,facebook
deevoltion,PERSON,2021-04-03,4 stars,4,spacex,facebook
dos,PRODUCT,2021-03-10,4 stars,4,spacex,facebook
nuggets,ORG,2021-03-17,1 star,1,spacex,facebook
russian,NORP,2021-03-17,1 star,1,spacex,facebook
first,ORDINAL,2021-02-26,3 stars,3,spacex,facebook
harmony,ORG,2021-02-26,3 stars,3,spacex,facebook
judy ho,PERSON,2021-03-13,3 stars,3,spacex,facebook
elisa lams,PERSON,2021-03-13,3 stars,3,spacex,facebook
elisa lam,PERSON,2021-03-13,3 stars,3,spacex,facebook
mike king,PERSON,2021-03-13,3 stars,3,spacex,facebook
america,GPE,2021-03-10,1 star,1,spacex,facebook
the united states,GPE,2021-03-10,1 star,1,spacex,facebook
lauren,PERSON,2021-03-05,3 stars,3,spacex,facebook
first,ORDINAL,2021-03-10,4 stars,4,spacex,facebook
elon,ORG,2020-09-18,4 stars,4,spacex,facebook
kbow,PERSON,2021-06-12,1 star,1,spacex,facebook
microsoft,ORG,2021-06-12,1 star,1,spacex,facebook
rome,GPE,2021-07-30,4 stars,4,spacex,facebook
oregon,GPE,2021-01-29,1 star,1,spacex,facebook
bible,WORK_OF_ART,2021-02-11,2 stars,2,spacex,facebook
egyptians,NORP,2021-02-11,2 stars,2,spacex,facebook
earth,LOC,2021-02-01,1 star,1,spacex,facebook
earth,LOC,2021-02-11,3 stars,3,spacex,facebook
brian,PERSON,2021-03-02,2 stars,2,spacex,facebook
bible neglect,WORK_OF_ART,2021-03-07,5 stars,5,spacex,facebook
harmony,ORG,2021-01-15,4 stars,4,spacex,facebook
egyptians,NORP,2021-01-15,4 stars,4,spacex,facebook
third,ORDINAL,2020-12-15,2 stars,2,spacex,facebook
america,GPE,2021-03-22,1 star,1,spacex,facebook
communist,NORP,2021-03-22,1 star,1,spacex,facebook
the signal,WORK_OF_ART,2021-03-22,1 star,1,spacex,facebook
bible,WORK_OF_ART,2020-12-19,2 stars,2,spacex,facebook
first,ORDINAL,2020-12-19,2 stars,2,spacex,facebook
warren buffet,PERSON,2020-12-19,2 stars,2,spacex,facebook
earth,LOC,2020-12-22,5 stars,5,spacex,facebook
ifi,ORG,2020-12-15,1 star,1,spacex,facebook
fcc,ORG,2021-01-09,1 star,1,spacex,facebook
elon,PERSON,2020-09-01,3 stars,3,spacex,facebook
english,LANGUAGE,2020-09-01,3 stars,3,spacex,facebook
armenian,NORP,2020-09-01,3 stars,3,spacex,facebook
elon musk,PERSON,2020-09-01,3 stars,3,spacex,facebook
russia,GPE,2020-09-01,3 stars,3,spacex,facebook
tabatha,PERSON,2020-09-07,1 star,1,spacex,facebook
ross,PERSON,2020-09-07,1 star,1,spacex,facebook
oregon usa,ORG,2020-09-07,1 star,1,spacex,facebook
shell,ORG,2020-09-04,3 stars,3,spacex,facebook
charles myers,PERSON,2020-09-04,3 stars,3,spacex,facebook
neuro,ORG,2020-08-19,4 stars,4,spacex,facebook
nlp,ORG,2020-08-19,4 stars,4,spacex,facebook
virgin,NORP,2021-07-27,1 star,1,vg,facenook
richard,PERSON,2021-07-27,1 star,1,vg,facenook
kris gundersen,PERSON,2021-07-27,1 star,1,vg,facenook
richard branson,PERSON,2021-07-18,5 stars,5,vg,facenook
wish,PERSON,2021-07-18,5 stars,5,vg,facenook
ukraine,GPE,2021-07-19,5 stars,5,vg,facenook
virgin galactic,ORG,2021-07-19,5 stars,5,vg,facenook
us,GPE,2021-07-19,5 stars,5,vg,facenook
blue origin,ORG,2021-07-19,5 stars,5,vg,facenook
karman line,FAC,2021-07-19,5 stars,5,vg,facenook
richard branson,PERSON,2021-07-18,5 stars,5,vg,facenook
richard branson,PERSON,2021-07-18,5 stars,5,vg,facenook
richard,PERSON,2021-07-18,5 stars,5,vg,facenook
virgin galactic,ORG,2021-07-18,5 stars,5,vg,facenook
richard branson,PERSON,2021-07-18,5 stars,5,vg,facenook
branson,GPE,2021-07-18,5 stars,5,vg,facenook
vero beach,GPE,2021-07-18,5 stars,5,vg,facenook
florida,GPE,2021-07-18,5 stars,5,vg,facenook
birthday sire please,WORK_OF_ART,2021-07-20,5 stars,5,vg,facenook
finger lakes,LOC,2021-07-20,5 stars,5,vg,facenook
ny,GPE,2021-07-20,5 stars,5,vg,facenook
las cruces,GPE,2021-07-18,5 stars,5,vg,facenook
new mexico,GPE,2021-07-18,5 stars,5,vg,facenook
first,ORDINAL,2021-07-19,5 stars,5,vg,facenook
birthday month,EVENT,2021-07-18,5 stars,5,vg,facenook
trailblazer,PRODUCT,2021-07-18,5 stars,5,vg,facenook
first,ORDINAL,2021-07-20,3 stars,3,vg,facenook
richard,PERSON,2021-07-20,3 stars,3,vg,facenook
richard branson,PERSON,2021-07-19,5 stars,5,vg,facenook
celebration happy,WORK_OF_ART,2021-07-19,5 stars,5,vg,facenook
richard branson,PERSON,2021-07-19,5 stars,5,vg,facenook
siberia,LOC,2021-07-18,5 stars,5,vg,facenook
first,ORDINAL,2021-07-18,5 stars,5,vg,facenook
richard,PERSON,2021-07-18,5 stars,5,vg,facenook
earth,LOC,2021-07-20,5 stars,5,vg,facenook
woop woop,PERSON,2021-07-20,5 stars,5,vg,facenook
branson,GPE,2021-07-20,5 stars,5,vg,facenook
branson,PERSON,2021-07-21,5 stars,5,vg,facenook
richard take,PERSON,2021-07-18,5 stars,5,vg,facenook
richard branson,PERSON,2021-07-18,5 stars,5,vg,facenook
branson mad,PERSON,2021-07-20,5 stars,5,vg,facenook
richard branson,PERSON,2021-07-18,5 stars,5,vg,facenook
virgin galactic,WORK_OF_ART,2021-07-18,5 stars,5,vg,facenook
spce,ORG,2021-07-19,4 stars,4,vg,facenook
richard,PERSON,2021-07-18,5 stars,5,vg,facenook
apollo,ORG,2021-07-20,5 stars,5,vg,facenook
mars,LOC,2021-07-20,5 stars,5,vg,facenook
hb jb,ORG,2021-07-18,5 stars,5,vg,facenook
unity,ORG,2021-07-18,5 stars,5,vg,facenook
vergin galatic live,WORK_OF_ART,2021-07-19,5 stars,5,vg,facenook
george kulangara,PERSON,2021-07-19,5 stars,5,vg,facenook
kerala,GPE,2021-07-19,5 stars,5,vg,facenook
nelson mandela,PERSON,2021-07-18,5 stars,5,vg,facenook
richard,PERSON,2021-07-28,1 star,1,vg,facenook
concorde,PRODUCT,2021-07-11,5 stars,5,vg,facenook
mac 1 2,ORG,2021-07-11,5 stars,5,vg,facenook
anne henriquez,PERSON,2021-07-19,5 stars,5,vg,facenook
apollo,ORG,2021-07-11,5 stars,5,vg,facenook
apple,ORG,2021-07-11,5 stars,5,vg,facenook
lockheed airrospace,ORG,2021-07-11,5 stars,5,vg,facenook
northrop,ORG,2021-07-11,5 stars,5,vg,facenook
the enterprise n c c 1701,ORG,2021-07-11,5 stars,5,vg,facenook
earth,LOC,2021-07-11,5 stars,5,vg,facenook
vietnam,GPE,2021-07-11,5 stars,5,vg,facenook
thai ha books,ORG,2021-07-11,5 stars,5,vg,facenook
dr hung,PERSON,2021-07-11,5 stars,5,vg,facenook
virgin,ORG,2021-07-12,1 star,1,vg,facenook
nhs,ORG,2021-07-12,1 star,1,vg,facenook
the british government,ORG,2021-07-12,1 star,1,vg,facenook
eon musk instead,PERSON,2021-07-12,5 stars,5,vg,facenook
richard branson,PERSON,2021-07-12,5 stars,5,vg,facenook
mars,LOC,2021-07-12,5 stars,5,vg,facenook
earth,LOC,2021-07-12,5 stars,5,vg,facenook
jeff bezos,PERSON,2021-07-12,5 stars,5,vg,facenook
covid,PERSON,2021-07-12,3 stars,3,vg,facenook
virgin,NORP,2021-07-12,3 stars,3,vg,facenook
brazil,GPE,2021-07-11,5 stars,5,vg,facenook
amazing wonderful,WORK_OF_ART,2021-07-11,5 stars,5,vg,facenook
virgin galatica,ORG,2021-07-11,1 star,1,vg,facenook
mum,PERSON,2021-07-11,5 stars,5,vg,facenook
first,ORDINAL,2021-07-11,5 stars,5,vg,facenook
perth australia,ORG,2021-07-11,5 stars,5,vg,facenook
first,ORDINAL,2021-07-11,4 stars,4,vg,facenook
burt rutan,PERSON,2021-07-11,4 stars,4,vg,facenook
virgin galactic spacefarer,ORG,2021-07-11,5 stars,5,vg,facenook
hearfelt,PERSON,2021-07-11,5 stars,5,vg,facenook
richard,PERSON,2021-07-11,5 stars,5,vg,facenook
vg,ORG,2021-07-11,5 stars,5,vg,facenook
vg,ORG,2021-07-11,5 stars,5,vg,facenook
virgin atlantic,ORG,2021-07-12,1 star,1,vg,facenook
500,MONEY,2021-07-12,1 star,1,vg,facenook
nhs,ORG,2021-07-12,1 star,1,vg,facenook
barnum,ORG,2021-07-12,1 star,1,vg,facenook
uk,GPE,2021-07-12,1 star,1,vg,facenook
govt,ORG,2021-07-12,1 star,1,vg,facenook
philip green,ORG,2021-07-12,1 star,1,vg,facenook
bailey,ORG,2021-07-12,1 star,1,vg,facenook
murphy,PERSON,2021-07-11,1 star,1,vg,facenook
bezos musk,PERSON,2021-07-11,1 star,1,vg,facenook
incredible shame,WORK_OF_ART,2021-07-11,1 star,1,vg,facenook
branson,GPE,2021-07-11,1 star,1,vg,facenook
richard branson,PERSON,2021-07-12,5 stars,5,vg,facenook
the karman line,ORG,2021-07-11,3 stars,3,vg,facenook
richard branson great job,PERSON,2021-07-11,3 stars,3,vg,facenook
richard branson,PERSON,2021-07-11,5 stars,5,vg,facenook
amazing,PERSON,2021-07-11,5 stars,5,vg,facenook
richie rich,PERSON,2021-07-11,4 stars,4,vg,facenook
honey,PERSON,2021-07-11,4 stars,4,vg,facenook
branson,GPE,2021-07-11,5 stars,5,vg,facenook
monarch airlines,ORG,2021-07-11,5 stars,5,vg,facenook
cabin crew,ORG,2021-07-11,5 stars,5,vg,facenook
richard,PERSON,2021-07-11,1 star,1,vg,facenook
monet,PERSON,2021-07-12,3 stars,3,vg,facenook
lego astronauts,ORG,2021-07-11,5 stars,5,vg,facenook
richard bransons,PERSON,2021-07-12,3 stars,3,vg,facenook
richard branson,PERSON,2021-07-13,4 stars,4,vg,facenook
virgin galactic,ORG,2021-07-11,5 stars,5,vg,facenook
cgi,ORG,2021-07-11,1 star,1,vg,facenook
faa,ORG,2021-09-03,5 stars,5,vg,facenook
the virgin galactic,WORK_OF_ART,2021-09-03,5 stars,5,vg,facenook
virgin galactic,ORG,2021-09-03,5 stars,5,vg,facenook
don,PERSON,2021-09-03,5 stars,5,vg,facenook
scott lewis,PERSON,2021-09-02,4 stars,4,vg,facenook
don,PERSON,2021-09-02,1 star,1,vg,facenook
faa,ORG,2021-09-02,3 stars,3,vg,facenook
italian,NORP,2021-09-02,1 star,1,vg,facenook
virgin galactic,ORG,2021-09-05,5 stars,5,vg,facenook
jeff bezos,PERSON,2021-09-05,5 stars,5,vg,facenook
ate ao espaco,PRODUCT,2021-09-02,4 stars,4,vg,facenook
leva contigo eu tambem quero,PERSON,2021-09-02,4 stars,4,vg,facenook
italian,NORP,2021-09-02,4 stars,4,vg,facenook
vg tsc,ORG,2021-09-02,5 stars,5,vg,facenook
branson,GPE,2021-09-03,1 star,1,vg,facenook
the galactic federation,ORG,2021-09-02,5 stars,5,vg,facenook
theis,ORG,2021-09-02,1 star,1,vg,facenook
richard,PERSON,2021-09-04,1 star,1,vg,facenook
beth,PERSON,2021-09-02,5 stars,5,vg,facenook
ma non hanno fermato i voli,PERSON,2021-09-06,3 stars,3,vg,facenook
the russian communist party,ORG,2021-09-02,1 star,1,vg,facenook
trump,PERSON,2021-09-02,1 star,1,vg,facenook
second,ORDINAL,2021-09-02,1 star,1,vg,facenook
china,GPE,2021-09-02,1 star,1,vg,facenook
fifth,ORDINAL,2021-09-02,1 star,1,vg,facenook
north korea,GPE,2021-09-02,1 star,1,vg,facenook
u s,PRODUCT,2021-09-02,1 star,1,vg,facenook
u s,LOC,2021-09-02,1 star,1,vg,facenook
the workers party of korea,ORG,2021-09-02,1 star,1,vg,facenook
west,LOC,2021-09-02,1 star,1,vg,facenook
russia,GPE,2021-09-02,1 star,1,vg,facenook
the persian gulf,LOC,2021-09-02,1 star,1,vg,facenook
flat earth,GPE,2021-09-02,1 star,1,vg,facenook
mars mars,LOC,2021-09-02,1 star,1,vg,facenook
greenland flat,GPE,2021-09-02,1 star,1,vg,facenook
mars rodent,PRODUCT,2021-09-02,1 star,1,vg,facenook
mike carnell,PERSON,2021-08-15,1 star,1,vg,facenook
mike really,PERSON,2021-08-16,1 star,1,vg,facenook
mike carnell,PERSON,2021-08-16,1 star,1,vg,facenook
donate,ORG,2021-08-16,1 star,1,vg,facenook
earth,LOC,2021-08-15,4 stars,4,vg,facenook
first,ORDINAL,2021-08-15,4 stars,4,vg,facenook
earth va,LOC,2021-08-15,4 stars,4,vg,facenook
vg,ORG,2021-08-15,4 stars,4,vg,facenook
mercury,ORG,2021-08-15,5 stars,5,vg,facenook
first,ORDINAL,2021-08-15,5 stars,5,vg,facenook
richard branson,PERSON,2021-08-16,5 stars,5,vg,facenook
100 dollar,MONEY,2021-08-16,1 star,1,vg,facenook
haven,ORG,2021-08-15,1 star,1,vg,facenook
3rd,ORDINAL,2021-08-16,4 stars,4,vg,facenook
stb,ORG,2021-08-16,1 star,1,vg,facenook
moon,PERSON,2021-08-16,3 stars,3,vg,facenook
mach,ORG,2021-08-19,1 star,1,vg,facenook
len nao,ORG,2021-08-17,1 star,1,vg,facenook
jeff bezos,PERSON,2021-08-25,4 stars,4,vg,facenook
63 dollar,MONEY,2021-08-16,5 stars,5,vg,facenook
kaufen,GPE,2021-08-16,5 stars,5,vg,facenook
marek ,PERSON,2021-08-15,5 stars,5,vg,facenook
calactic,ORG,2021-08-15,5 stars,5,vg,facenook
greg johnson,PERSON,2021-08-05,3 stars,3,vg,facenook
greg johnson,PERSON,2021-08-09,4 stars,4,vg,facenook
richard branson,PERSON,2021-08-05,3 stars,3,vg,facenook
elon musk,PERSON,2021-08-05,3 stars,3,vg,facenook
earth,LOC,2021-08-06,5 stars,5,vg,facenook
richard branson,PERSON,2021-08-06,5 stars,5,vg,facenook
virgin galactic,ORG,2021-08-06,5 stars,5,vg,facenook
virgin,ORG,2021-08-05,1 star,1,vg,facenook
this fairground ride,EVENT,2021-08-05,1 star,1,vg,facenook
don,PERSON,2021-08-06,5 stars,5,vg,facenook
omaze,ORG,2021-08-05,5 stars,5,vg,facenook
richard branson,PERSON,2021-08-08,4 stars,4,vg,facenook
rocket,PRODUCT,2021-08-06,3 stars,3,vg,facenook
wish,PERSON,2021-08-06,3 stars,3,vg,facenook
galactic,NORP,2021-08-05,5 stars,5,vg,facenook
richard,PERSON,2021-08-05,5 stars,5,vg,facenook
neil degrasse tyson,PERSON,2021-08-05,1 star,1,vg,facenook
love,WORK_OF_ART,2021-08-28,4 stars,4,vg,facenook
richard branson,PERSON,2021-08-07,4 stars,4,vg,facenook
jeff bezos,PERSON,2021-08-07,4 stars,4,vg,facenook
nhs,ORG,2021-08-12,5 stars,5,vg,facenook
spce,ORG,2021-08-06,5 stars,5,vg,facenook
us,GPE,2021-08-06,1 star,1,vg,facenook
space ,LOC,2021-08-05,4 stars,4,vg,facenook
rich boys fairground ride,PERSON,2021-08-27,1 star,1,vg,facenook
virgin galactic,ORG,2021-08-27,5 stars,5,vg,facenook
peter herbert,PERSON,2021-08-28,5 stars,5,vg,facenook
dickie,PERSON,2021-08-27,5 stars,5,vg,facenook
tylko jednego,PERSON,2021-09-06,1 star,1,vg,facenook
loty w kosmos pozostaja tylko w sferze marzen tym,PERSON,2021-09-06,1 star,1,vg,facenook
mirosaw hermaszewski,ORG,2021-09-06,1 star,1,vg,facenook
zoveel geluk heb ik niet,PERSON,2021-08-28,1 star,1,vg,facenook
australia,GPE,2021-08-28,2 stars,2,vg,facenook
saludos desde,ORG,2021-08-27,5 stars,5,vg,facenook
 ,PERSON,2021-08-28,5 stars,5,vg,facenook
julieta gonzalez tuchmann,PERSON,2021-08-28,1 star,1,vg,facenook
definitevly,NORP,2021-08-31,1 star,1,vg,facenook
omaze,ORG,2021-08-31,1 star,1,vg,facenook
ng karmanline,PERSON,2021-08-31,1 star,1,vg,facenook
love,WORK_OF_ART,2021-08-28,5 stars,5,vg,facenook
richard,PERSON,2021-08-28,1 star,1,vg,facenook
first,ORDINAL,2021-09-02,4 stars,4,vg,facenook
cgi,ORG,2021-08-31,5 stars,5,vg,facenook
next,ORG,2021-08-04,5 stars,5,vg,facenook
hodl hodl,ORG,2021-08-04,5 stars,5,vg,facenook
spce,ORG,2021-08-04,5 stars,5,vg,facenook
earth,LOC,2021-08-03,2 stars,2,vg,facenook
ncaa,ORG,2021-08-03,1 star,1,vg,facenook
lex luthor,PERSON,2021-08-04,1 star,1,vg,facenook
astronauts,ORG,2021-08-03,1 star,1,vg,facenook
richard,PERSON,2021-08-04,5 stars,5,vg,facenook
richard branson,PERSON,2021-08-04,5 stars,5,vg,facenook
costa rica,GPE,2021-08-03,5 stars,5,vg,facenook
thomass blake,PERSON,2021-08-03,1 star,1,vg,facenook
the karman line,ORG,2021-08-04,1 star,1,vg,facenook
seaquels,PERSON,2021-08-08,5 stars,5,vg,facenook
virgin,NORP,2021-08-08,5 stars,5,vg,facenook
europe,LOC,2021-08-07,4 stars,4,vg,facenook
us,GPE,2021-08-07,4 stars,4,vg,facenook
virgin,ORG,2021-08-07,4 stars,4,vg,facenook
musk,PERSON,2021-08-04,4 stars,4,vg,facenook
bezos,PRODUCT,2021-08-04,4 stars,4,vg,facenook
branson,GPE,2021-08-04,4 stars,4,vg,facenook
moon,ORG,2021-08-10,5 stars,5,vg,facenook
spce,ORG,2021-08-10,5 stars,5,vg,facenook
mars,LOC,2021-08-05,1 star,1,vg,facenook
second,ORDINAL,2021-08-05,1 star,1,vg,facenook
third,ORDINAL,2021-08-05,1 star,1,vg,facenook
spacex,ORG,2021-08-05,1 star,1,vg,facenook
zia,PERSON,2021-07-25,5 stars,5,vg,facenook
congrats virgin galactic,PERSON,2021-07-26,5 stars,5,vg,facenook
george kulangara,PERSON,2021-07-26,5 stars,5,vg,facenook
perfecto,ORG,2021-07-25,5 stars,5,vg,facenook
spce,ORG,2021-07-25,3 stars,3,vg,facenook
bangladesh,GPE,2021-07-25,5 stars,5,vg,facenook
virgin,PERSON,2021-07-26,5 stars,5,vg,facenook
musk,PRODUCT,2021-07-26,4 stars,4,vg,facenook
bezos,PRODUCT,2021-07-26,4 stars,4,vg,facenook
nero,ORG,2021-07-27,4 stars,4,vg,facenook
richard,PERSON,2021-07-30,1 star,1,vg,facenook
vg on money netflix,ORG,2021-07-25,1 star,1,vg,facenook
vg,ORG,2021-07-25,1 star,1,vg,facenook
une annonce,ORG,2021-07-25,3 stars,3,vg,facenook
branson,GPE,2021-07-25,5 stars,5,vg,facenook
musk,PERSON,2021-08-10,1 star,1,vg,facenook
branson,GPE,2021-08-10,1 star,1,vg,facenook
nasa,ORG,2021-08-01,1 star,1,vg,facenook
nessesary,PERSON,2021-08-01,1 star,1,vg,facenook
geil,PERSON,2021-07-25,5 stars,5,vg,facenook
blue origin,ORG,2021-07-23,4 stars,4,bo,facebook
congrats jeff,PERSON,2021-07-23,4 stars,4,bo,facebook
new glen,GPE,2021-07-22,5 stars,5,bo,facebook
super high liquidity product service ability,ORG,2021-07-22,5 stars,5,bo,facebook
great for investment attraction,ORG,2021-07-22,5 stars,5,bo,facebook
us,GPE,2021-07-22,5 stars,5,bo,facebook
blue origin,ORG,2021-07-22,5 stars,5,bo,facebook
jeff,PERSON,2021-07-22,5 stars,5,bo,facebook
van horn,FAC,2021-07-22,5 stars,5,bo,facebook
jeff bezos,PERSON,2021-07-22,1 star,1,bo,facebook
spacex elon musk,ORG,2021-07-22,1 star,1,bo,facebook
nasa,ORG,2021-07-22,1 star,1,bo,facebook
spacex,PERSON,2021-07-22,1 star,1,bo,facebook
spacex,ORG,2021-07-22,1 star,1,bo,facebook
nasa,ORG,2021-08-17,5 stars,5,bo,facebook
earth,LOC,2021-07-25,1 star,1,bo,facebook
nasa,ORG,2021-07-23,5 stars,5,bo,facebook
the blue origin team,ORG,2021-07-23,5 stars,5,bo,facebook
avon,ORG,2021-07-22,5 stars,5,bo,facebook
?,PRODUCT,2021-07-22,1 star,1,bo,facebook
jeff b,PERSON,2021-07-22,5 stars,5,bo,facebook
blue origin!,ORG,2021-07-22,5 stars,5,bo,facebook
van horn vhhs alumni,ORG,2021-07-23,5 stars,5,bo,facebook
kent,PERSON,2021-08-17,3 stars,3,bo,facebook
nasa,ORG,2021-08-17,1 star,1,bo,facebook
iss,ORG,2021-08-17,1 star,1,bo,facebook
yall,ORG,2021-08-17,1 star,1,bo,facebook
spacex,ORG,2021-08-17,1 star,1,bo,facebook
jeff,PERSON,2021-08-18,5 stars,5,bo,facebook
nasa,ORG,2021-08-17,1 star,1,bo,facebook
jeff bezos,PERSON,2021-08-16,5 stars,5,bo,facebook
nasa,ORG,2021-08-16,1 star,1,bo,facebook
tory,PERSON,2021-08-19,3 stars,3,bo,facebook
bozo,NORP,2021-08-19,3 stars,3,bo,facebook
biden,PERSON,2021-08-17,1 star,1,bo,facebook
jeff bezos,PERSON,2021-08-17,1 star,1,bo,facebook
nasa,ORG,2021-08-17,1 star,1,bo,facebook
jeff washington post,ORG,2021-08-17,1 star,1,bo,facebook
spacex,PERSON,2021-08-17,1 star,1,bo,facebook
gary lai s,PERSON,2021-07-21,3 stars,3,bo,facebook
ayaz parwez,PERSON,2021-07-22,5 stars,5,bo,facebook
india,GPE,2021-07-22,5 stars,5,bo,facebook
alan shepard,PERSON,2021-07-22,5 stars,5,bo,facebook
youtube,PERSON,2021-07-22,1 star,1,bo,facebook
tory,NORP,2021-07-21,1 star,1,bo,facebook
jeff bezos,PERSON,2021-08-08,5 stars,5,bo,facebook
amazon,ORG,2021-08-08,5 stars,5,bo,facebook
inter milan,ORG,2021-08-08,5 stars,5,bo,facebook
ya nasa national aeronautics and space administration tesla shareholders club virgin galactic blue origin,ORG,2021-07-22,5 stars,5,bo,facebook
elon,ORG,2021-08-17,1 star,1,bo,facebook
bezos,PRODUCT,2021-07-21,1 star,1,bo,facebook
awesomeness,PRODUCT,2021-07-21,5 stars,5,bo,facebook
bezos,PERSON,2021-07-22,1 star,1,bo,facebook
jeff,PERSON,2021-07-22,1 star,1,bo,facebook
karman,PERSON,2021-07-22,1 star,1,bo,facebook
